,feature name,importance
199,"28 2ary Auditory, Wernicke (BA22p)_PC_P 38 4",0.00834795307783657
200,72 Internal Capsule_PC_O 36 2,0.00833386023121341
201,56 Nucleus Accumbens_PE 40 4,0.00818792449380034
202,14 1ary Visual Posterior (BA17p)_PC 32 1,0.008179990477857392
203,53 Insular Posterior Cortex_HexCer t40 2,0.008178946524024882
204,53 Insular Posterior Cortex_DG 42 4,0.008153934071345242
205,44 Dorsolateral Prefrontal (BA46)_PC_P 38 2,0.008087205874155713
206,14 1ary Visual Posterior (BA17p)_PC_P 36 1,0.008054646477986432
207,25 Posterior Inferior Temporal (BA20p)_PC_P 38 2,0.00799539276211448
208,73 Corpus Callosum Anterior_PC 40 8,0.007898754786476624
209,34 Dorsolateral Prefrontal (BA9)_PC 42 9,0.007855634704547578
210,41 Angular (BA39)_PC_P 38 5,0.00767042248251844
211,48 Cingulate Anterior (BA24)_DG 40 2,0.007646691047174213
212,14 1ary Visual Posterior (BA17p)_Cer m44 1,0.007622442229925721
213,"28 2ary Auditory, Wernicke (BA22p)_PC 33 1",0.007576474245582174
214,72 Internal Capsule_PC_P 32 1,0.007455806238835869
215,14 1ary Visual Posterior (BA17p)_PC_O 36 2,0.007421090123026813
216,3  Posterior Superior Parietal (BA7p)_LPC 22 6,0.007333640911009021
217,74 Corpus Callosum Posterior_CE 18 2,0.007331936323351682
218,31 Supramarginal Posterior (BA40p)_PC 28 0,0.0073056541620982384
219,25 Posterior Inferior Temporal (BA20p)_PE 40 4,0.007200555385597884
220,48 Cingulate Anterior (BA24)_HexCer d43 2,0.0071514163492909285
221,18 1ary Somatosensory (BA3/1/2)_PC 38 4,0.00706286683693924
222,48 Cingulate Anterior (BA24)_FA 22 2,0.006983330796566525
223,72 Internal Capsule_Cer m44 1,0.006912111502384653
224,48 Cingulate Anterior (BA24)_DG 36 1,0.0068652176096297216
225,"28 2ary Auditory, Wernicke (BA22p)_PI 38 4",0.006835597115452468
226,14 1ary Visual Posterior (BA17p)_PC_P 40 4,0.006622144586421052
227,52 Amygdala_TG 54 6,0.006426238242039203
228,34 Dorsolateral Prefrontal (BA9)_PC 32 1,0.006218727103517952
229,33 Anterior Inferior Temporal (BA20a)_PC 42 2,0.005836835386825341
230,72 Internal Capsule_DG 36 4,0.00576995139775998
231,14 1ary Visual Posterior (BA17p)_DG 38 5,0.004157726116814564
232,"28 2ary Auditory, Wernicke (BA22p)_FA 22 5",0.003705509752972142
233,73 Corpus Callosum Anterior_SM d41 1,0.0030096401194977763
234,"28 2ary Auditory, Wernicke (BA22p)_PC 35 4",0.002958903776022406
235,58 Putamen_PE_P 42 4,0.002340173311883478
236,14 1ary Visual Posterior (BA17p)_DG 38 4,0.0022567106450425206
237,25 Posterior Inferior Temporal (BA20p)_LPE 22 6,0.0021765961055907963
238,72 Internal Capsule_DG 36 1,0.002027258882727023
239,53 Insular Posterior Cortex_PC 28 0,0.0019628933689441012
240,70 Ventral Lateral Thalamus_TG 54 5,0.001920360267235558
241,36 FEF Medial (BA8m)_DG 36 3,0.0018914476046297112
242,25 Posterior Inferior Temporal (BA20p)_LPE 20 1,0.0018245765352165003
243,14 1ary Visual Posterior (BA17p)_HexCer d36 2,0.0017868232282080851
244,53 Insular Posterior Cortex_PC 44 2,0.0017866891892220698
245,72 Internal Capsule_PC_O 34 1,0.0016851579308029307
246,44 Dorsolateral Prefrontal (BA46)_PE 36 3,0.0015061428870617962
247,39 Frontopolar (BA10fp)_PC 45 2,0.0014761732398788608
248,53 Insular Posterior Cortex_PC 29 0,0.0014267513423433164
249,53 Insular Posterior Cortex_PC_P 38 2,0.0013723164236038427
250,14 1ary Visual Posterior (BA17p)_PC 34 4,0.0013467768719777453
251,"28 2ary Auditory, Wernicke (BA22p)_CE 20 4",0.0013342755764080276
252,"28 2ary Auditory, Wernicke (BA22p)_SM d35 1",0.0012791065704322356
253,53 Insular Posterior Cortex_PE_P 39 2,0.001224974690568475
254,53 Insular Posterior Cortex_PE_P 35 2,0.0012111482198757424
255,61 Pulvinar Thalamus_PC 44 2,0.0011987590045592646
256,14 1ary Visual Posterior (BA17p)_PC_P 34 1,0.0011804186742285635
257,64 Globus Pallidus_SM d35 2,0.0011619323012780375
258,"28 2ary Auditory, Wernicke (BA22p)_PC 34 4",0.0011380378558688352
259,73 Corpus Callosum Anterior_SulfoHexCer d41 1,0.0011292636108513742
260,46 Prefrontal Medial (BA10m)_LPE 18 1,0.001108916322542711
261,48 Cingulate Anterior (BA24)_SM d38 0,0.0010986954563971057
262,48 Cingulate Anterior (BA24)_DG 42 4,0.0010417120548823192
263,31 Supramarginal Posterior (BA40p)_Cer d41 2,0.0010378514099435104
264,4  Anterior Superior Parietal (BA5/BA7a)_LPC 22 4,0.0010328478406143441
265,43 Temporopolar (BA38)_LPE 20 4,0.0010298172003485576
266,14 1ary Visual Posterior (BA17p)_LPC 22 6,0.0009762017645574912
267,58 Putamen_PE 38 5,0.0009447930120211117
268,64 Globus Pallidus_PE_P 34 2,0.0009368401504802021
269,33 Anterior Inferior Temporal (BA20a)_TG 58 7,0.0009340586085439251
270,"28 2ary Auditory, Wernicke (BA22p)_PE 37 4",0.0009197296019344053
271,25 Posterior Inferior Temporal (BA20p)_LPE 20 2,0.0009191233915800212
272,52 Amygdala_TG 50 3,0.0009104739674454539
273,"28 2ary Auditory, Wernicke (BA22p)_FA 24 6",0.0008799683681056501
274,"28 2ary Auditory, Wernicke (BA22p)_SM d37 2",0.0008592448339283787
275,"65 Hippocampus, CA1_PC 39 6",0.0008520244224901252
276,46 Prefrontal Medial (BA10m)_FA 14 0,0.0008438380907930327
277,52 Amygdala_TG 56 5,0.0008414016210810504
278,22 Premotor Medial (BA6m)_TG 60 10,0.0008356490273364101
279,14 1ary Visual Posterior (BA17p)_LPE 18 1,0.0008100222028094165
280,61 Pulvinar Thalamus_SulfoHexCer d42 1,0.0007676180678753337
281,14 1ary Visual Posterior (BA17p)_PC_O 36 1,0.0007624899958053978
282,56 Nucleus Accumbens_CE 18 1,0.0007537636461084431
283,48 Cingulate Anterior (BA24)_PC 40 1,0.0007512377614841364
284,3  Posterior Superior Parietal (BA7p)_PE 38 6,0.0007415133391442618
285,61 Pulvinar Thalamus_PE 34 2,0.0007272207658653097
286,33 Anterior Inferior Temporal (BA20a)_PE 38 7,0.0007075667438628593
287,30 Premotor Anterior Lateral (BA6a)_PC 30 1,0.0007063419776827082
288,72 Internal Capsule_SM d42 2,0.0006435821360221735
289,14 1ary Visual Posterior (BA17p)_LPE 20 1,0.0006274715254744495
290,72 Internal Capsule_PC_O 36 1,0.0006030068249085475
291,72 Internal Capsule_PG 34 2,0.0005807271592470937
292,4  Anterior Superior Parietal (BA5/BA7a)_PC 40 8,0.0005788119140597797
293,46 Prefrontal Medial (BA10m)_LPE 20 2,0.0005786719504223502
294,64 Globus Pallidus_SM d32 0,0.0005740430171301769
295,"28 2ary Auditory, Wernicke (BA22p)_LPC 16 1",0.0005705277261771069
296,56 Nucleus Accumbens_PC 29 0,0.0005671205572083652
297,14 1ary Visual Posterior (BA17p)_PC 38 4,0.0005490847587966432
298,6  Anterior Middle Temporal (BA37-aMT)_LPC 20 4,0.0005474202212732434
299,8  Cingulate Posterior (BA23a)_LPC 20 4,0.0005330681590086128
300,30 Premotor Anterior Lateral (BA6a)_PC 42 9,0.0005324217323091546
301,"28 2ary Auditory, Wernicke (BA22p)_PC 37 5",0.000531200764147541
302,6  Anterior Middle Temporal (BA37-aMT)_PC_O 36 4,0.0005074637313882357
303,14 1ary Visual Posterior (BA17p)_PC_O 38 1,0.0005063309566284955
304,48 Cingulate Anterior (BA24)_FA 24 1,0.0004860492039939128
305,14 1ary Visual Posterior (BA17p)_DG 36 4,0.00047788685105154094
306,56 Nucleus Accumbens_FA 17 1,0.00045769955026430303
307,63 Substantia Nigra_CAR 18 0,0.00043492669539401134
308,36 FEF Medial (BA8m)_TG 56 5,0.00041872677929165406
309,44 Dorsolateral Prefrontal (BA46)_DG 38 1,0.00041231539341159726
310,33 Anterior Inferior Temporal (BA20a)_PC 45 2,0.00038735641395023726
311,7  Orbitofrontal (BA47)_LPE 18 1,0.00038222213782844537
312,25 Posterior Inferior Temporal (BA20p)_PE_P 40 4,0.00036815928570463433
313,72 Internal Capsule_PC_O 34 0,0.00036675717300615763
314,64 Globus Pallidus_CE 22 6,0.00036406146870346693
315,75 Cerebellar White Matter_LPE 20 2,0.00036397459181494686
316,"28 2ary Auditory, Wernicke (BA22p)_LPC 20 1",0.00034600078748172556
317,"65 Hippocampus, CA1_PE_P 41 7",0.00034473699510009987
318,"65 Hippocampus, CA1_PC 40 4",0.0003440669866596359
319,53 Insular Posterior Cortex_PC 46 5,0.00034387217399446153
320,72 Internal Capsule_PC 45 2,0.0003435442086579868
321,56 Nucleus Accumbens_FA 16 1,0.00034303079471330886
322,4  Anterior Superior Parietal (BA5/BA7a)_DG 38 5,0.0003380517032715348
